"","TYPE","ZONE","CASES","DEATH","DATE"
"2313","Church","North",14,0,2021-02-08
"2314","Church","South",8,0,2021-02-08
"2315","Construction","North",10,0,2021-02-08
"2316","Construction","Calgary",8,0,2021-02-08
"2317","Correctional","North",82,0,2021-02-08
"2318","Correctional","Edmonton",8,0,2021-02-08
"2319","Correctional","Edmonton",2,0,2021-02-08
"2320","Food Manufacturing","Edmonton",30,0,2021-02-08
"2321","Food Manufacturing","Calgary",9,0,2021-02-08
"2322","Food Manufacturing","Calgary",7,0,2021-02-08
"2323","Grocery/Essential","Calgary",13,0,2021-02-08
"2324","Group Home","Edmonton",5,0,2021-02-08
"2325","Group Home","Edmonton",4,0,2021-02-08
"2326","Group Home","Edmonton",4,0,2021-02-08
"2327","Junior/High School","North",50,0,2021-02-08
"2328","Junior/High School","Central",50,0,2021-02-08
"2329","Junior/High School","Calgary",31,0,2021-02-08
"2330","Junior/High School","Calgary",14,0,2021-02-08
"2331","Junior/High School","Edmonton",11,0,2021-02-08
"2332","Junior/High School","North",7,0,2021-02-08
"2333","Junior/High School","Edmonton",6,0,2021-02-08
"2334","Junior/High School","Edmonton",6,0,2021-02-08
"2335","Junior/High School","North",6,0,2021-02-08
"2336","Junior/High School","Edmonton",5,0,2021-02-08
"2337","Junior/High School","Edmonton",4,0,2021-02-08
"2338","Junior/High School","Edmonton",4,0,2021-02-08
"2339","Junior/High School","Calgary",3,0,2021-02-08
"2340","Junior/High School","Edmonton",3,0,2021-02-08
"2341","Junior/High School","Edmonton",3,0,2021-02-08
"2342","Junior/High School","South",3,0,2021-02-08
"2343","Junior/High School","Edmonton",2,0,2021-02-08
"2344","Junior/High School","North",2,0,2021-02-08
"2345","Junior/High School","Edmonton",2,0,2021-02-08
"2346","Junior/High School","Edmonton",2,0,2021-02-08
"2347","Junior/High School","Calgary",2,0,2021-02-08
"2348","Junior/High School","Edmonton",2,0,2021-02-08
"2349","Junior/High School","Calgary",2,0,2021-02-08
"2350","Long-Term Care","North",32,4,2021-02-08
"2351","Long-Term Care","North",23,2,2021-02-08
"2352","Long-Term Care","Calgary",19,1,2021-02-08
"2353","Long-Term Care","Central",16,3,2021-02-08
"2354","Long-Term Care","Central",10,1,2021-02-08
"2355","Long-Term Care","North",6,0,2021-02-08
"2356","Long-Term Care","North",5,0,2021-02-08
"2357","Long-Term Care","Edmonton",5,1,2021-02-08
"2358","Long-Term Care","Calgary",5,0,2021-02-08
"2359","Long-Term Care","Calgary",5,0,2021-02-08
"2360","Long-Term Care","Edmonton",2,0,2021-02-08
"2361","Long-Term Care","Calgary",2,0,2021-02-08
"2362","Long-Term Care","Central",2,0,2021-02-08
"2363","Long-Term Care","Calgary",2,0,2021-02-08
"2364","Long-Term Care","Calgary",1,0,2021-02-08
"2365","Long-Term Care","South",1,0,2021-02-08
"2366","Long-Term Care","Edmonton",1,0,2021-02-08
"2367","Long-Term Care","Calgary",1,0,2021-02-08
"2368","Long-Term Care","North",1,0,2021-02-08
"2369","Long-Term Care","Calgary",1,0,2021-02-08
"2370","Long-Term Care","South",1,0,2021-02-08
"2371","Long-Term Care","Calgary",1,0,2021-02-08
"2372","Long-Term Care","South",1,0,2021-02-08
"2373","Long-Term Care","Edmonton",1,0,2021-02-08
"2374","Manufacturing","North",19,0,2021-02-08
"2375","Manufacturing","South",15,0,2021-02-08
"2376","Manufacturing","Calgary",14,0,2021-02-08
"2377","Manufacturing","Calgary",14,0,2021-02-08
"2378","Manufacturing","Calgary",13,0,2021-02-08
"2379","Manufacturing","Calgary",13,0,2021-02-08
"2380","Manufacturing","North",11,0,2021-02-08
"2381","Manufacturing","Calgary",10,0,2021-02-08
"2382","Manufacturing","North",8,0,2021-02-08
"2383","Manufacturing","North",7,0,2021-02-08
"2384","Manufacturing","Edmonton",7,0,2021-02-08
"2385","Manufacturing","Edmonton",7,0,2021-02-08
"2386","Manufacturing","Calgary",7,0,2021-02-08
"2387","Manufacturing","South",5,0,2021-02-08
"2388","Manufacturing","Calgary",4,0,2021-02-08
"2389","Manufacturing","Calgary",4,0,2021-02-08
"2390","Medical","Calgary",7,0,2021-02-08
"2391","Private","South",8,0,2021-02-08
"2392","School","Calgary",105,0,2021-02-08
"2393","School","North",28,0,2021-02-08
"2394","School","North",21,0,2021-02-08
"2395","School","Central",20,0,2021-02-08
"2396","School","Calgary",18,0,2021-02-08
"2397","School","Calgary",16,0,2021-02-08
"2398","School","Edmonton",16,0,2021-02-08
"2399","School","Central",13,0,2021-02-08
"2400","School","North",11,0,2021-02-08
"2401","School","Calgary",11,0,2021-02-08
"2402","School","North",11,0,2021-02-08
"2403","School","Edmonton",10,0,2021-02-08
"2404","School","Central",10,0,2021-02-08
"2405","School","Calgary",10,0,2021-02-08
"2406","School","Calgary",9,0,2021-02-08
"2407","School","North",8,0,2021-02-08
"2408","School","Edmonton",8,0,2021-02-08
"2409","School","Calgary",8,0,2021-02-08
"2410","School","North",7,0,2021-02-08
"2411","School","Calgary",7,0,2021-02-08
"2412","School","Central",6,0,2021-02-08
"2413","School","Calgary",6,0,2021-02-08
"2414","School","Edmonton",5,0,2021-02-08
"2415","School","Edmonton",5,0,2021-02-08
"2416","School","Calgary",5,0,2021-02-08
"2417","School","Edmonton",5,0,2021-02-08
"2418","School","North",5,0,2021-02-08
"2419","School","Calgary",5,0,2021-02-08
"2420","School","Edmonton",4,0,2021-02-08
"2421","School","South",4,0,2021-02-08
"2422","School","Edmonton",4,0,2021-02-08
"2423","School","Edmonton",4,0,2021-02-08
"2424","School","Calgary",4,0,2021-02-08
"2425","School","Edmonton",4,0,2021-02-08
"2426","School","North",4,0,2021-02-08
"2427","School","Central",4,0,2021-02-08
"2428","School","Calgary",3,0,2021-02-08
"2429","School","South",3,0,2021-02-08
"2430","School","Calgary",3,0,2021-02-08
"2431","School","Edmonton",3,0,2021-02-08
"2432","School","Calgary",3,0,2021-02-08
"2433","School","Calgary",3,0,2021-02-08
"2434","School","South",3,0,2021-02-08
"2435","School","Calgary",3,0,2021-02-08
"2436","School","Calgary",3,0,2021-02-08
"2437","School","South",3,0,2021-02-08
"2438","School","Calgary",3,0,2021-02-08
"2439","School","Calgary",3,0,2021-02-08
"2440","School","Edmonton",3,0,2021-02-08
"2441","School","Central",3,0,2021-02-08
"2442","School","Edmonton",3,0,2021-02-08
"2443","School","Calgary",3,0,2021-02-08
"2444","School","Edmonton",3,0,2021-02-08
"2445","School","Calgary",3,0,2021-02-08
"2446","School","Edmonton",3,0,2021-02-08
"2447","School","Calgary",3,0,2021-02-08
"2448","School","Edmonton",2,0,2021-02-08
"2449","School","Calgary",2,0,2021-02-08
"2450","School","North",2,0,2021-02-08
"2451","School","Edmonton",2,0,2021-02-08
"2452","School","Edmonton",2,0,2021-02-08
"2453","School","North",2,0,2021-02-08
"2454","School","Edmonton",2,0,2021-02-08
"2455","School","Calgary",2,0,2021-02-08
"2456","School","Central",2,0,2021-02-08
"2457","School","North",2,0,2021-02-08
"2458","School","Calgary",2,0,2021-02-08
"2459","School","Calgary",2,0,2021-02-08
"2460","School","Calgary",2,0,2021-02-08
"2461","School","Edmonton",2,0,2021-02-08
"2462","School","Calgary",2,0,2021-02-08
"2463","School","North",2,0,2021-02-08
"2464","School","South",2,0,2021-02-08
"2465","School","Calgary",2,0,2021-02-08
"2466","School","Edmonton",2,0,2021-02-08
"2467","School","Calgary",2,0,2021-02-08
"2468","School","Calgary",2,0,2021-02-08
"2469","School","Calgary",2,0,2021-02-08
"2470","School","Calgary",2,0,2021-02-08
"2471","School","North",2,0,2021-02-08
"2472","School","Edmonton",2,0,2021-02-08
"2473","School","Calgary",2,0,2021-02-08
"2474","School","Edmonton",2,0,2021-02-08
"2475","School","Calgary",2,0,2021-02-08
"2476","School","Edmonton",2,0,2021-02-08
"2477","School","North",2,0,2021-02-08
"2478","School","Edmonton",2,0,2021-02-08
"2479","School","Calgary",2,0,2021-02-08
"2480","School","Calgary",2,0,2021-02-08
"2481","School","Calgary",2,0,2021-02-08
"2482","School","Central",2,0,2021-02-08
"2483","School","Edmonton",2,0,2021-02-08
"2484","School","Edmonton",2,0,2021-02-08
"2485","School","Calgary",2,0,2021-02-08
"2486","School","South",1,0,2021-02-08
"2487","Shelter","Calgary",9,0,2021-02-08
"2488","Shelter","Edmonton",1,0,2021-02-08
"2489","Shelter","South",1,0,2021-02-08
"2490","Social Service","Central",16,0,2021-02-08
"2491","Social Service","North",10,0,2021-02-08
"2492","Social Service","Central",9,0,2021-02-08
"2493","Social Service","North",5,0,2021-02-08
"2494","Social Service","Edmonton",2,0,2021-02-08
"2495","Social Service","North",2,0,2021-02-08
"2496","Social Service","Calgary",1,0,2021-02-08
"2497","Social Service","Edmonton",1,0,2021-02-08
"2498","Social Service","Calgary",1,0,2021-02-08
"2499","Social Service","Central",1,0,2021-02-08
"2500","Social Service","Calgary",1,0,2021-02-08
"2501","Social Service","South",1,0,2021-02-08
"2502","Grocery/Essential","Calgary",13,0,2021-02-09
"2503","Long-Term Care","Calgary",13,0,2021-02-09
"2504","Auto Delearship","Calgary",8,0,2021-02-09
"2505","School","Edmonton",4,0,2021-02-09
"2506","Social Service","North",6,0,2021-02-09
"2507","School","Edmonton",4,0,2021-02-09
"2508","Junior/High School","South",2,0,2021-02-09
"2509","Manufacturing","Edmonton",8,0,2021-02-09
"2510","School","Calgary",15,0,2021-02-09
"2511","Church","Central",13,0,2021-02-09
"2512","Junior/High School","North",6,0,2021-02-09
"2513","Social Service","North",5,0,2021-02-09
"2514","Long-Term Care","Edmonton",1,0,2021-02-09
"2515","School","Edmonton",2,0,2021-02-09
"2516","Manufacturing","Calgary",5,0,2021-02-09
"2517","Acute Care","Calgary",3,2,2021-02-10
"2518","Long-Term Care","North",21,1,2021-02-10
"2519","Junior/High School","Edmonton",4,0,2021-02-10
"2520","Correctional","Calgary",1,0,2021-02-10
"2521","Childcare","Calgary",4,0,2021-02-10
"2522","Long-Term Care","North",1,0,2021-02-10
"2523","School","North",3,0,2021-02-10
"2524","Junior/High School","South",14,0,2021-02-10
"2525","Social Service","North",28,1,2021-02-10
"2526","Acute Care","Calgary",3,1,2021-02-10
"2527","Church","Central",12,0,2021-02-10
"2528","School","Calgary",5,0,2021-02-10
"2529","Restaurant","South",2,0,2021-02-10
"2530","Grocery/Essential","North",6,0,2021-02-10
"2531","Group Home","Edmonton",6,0,2021-02-10
"2532","Manufacturing","North",5,0,2021-02-10
"2533","Childcare","Edmonton",2,0,2021-02-10
"2534","School","Calgary",11,0,2021-02-11
"2535","Long-Term Care","Edmonton",4,0,2021-02-11
"2536","Financial/Accounting","Calgary",5,0,2021-02-11
"2537","Childcare","Edmonton",3,0,2021-02-11
"2538","Junior/High School","Calgary",14,0,2021-02-11
"2539","Food Manufacturing","Edmonton",7,0,2021-02-11
"2540","Acute Care","North",2,1,2021-02-11
"2541","Junior/High School","North",8,0,2021-02-11
"2542","School","Central",21,0,2021-02-11
"2543","School","Calgary",4,0,2021-02-11
"2544","School","Calgary",5,0,2021-02-11
"2545","Social Service","North",33,0,2021-02-11
"2546","Group Home","Edmonton",9,0,2021-02-11
"2547","School","North",4,0,2021-02-11
"2548","School","North",5,0,2021-02-12
"2549","Childcare","Calgary",3,0,2021-02-12
"2550","Long-Term Care","Edmonton",1,1,2021-02-12
"2551","Group Home","North",6,0,2021-02-12
"2552","Manufacturing","Edmonton",6,0,2021-02-12
"2553","Long-Term Care","South",20,3,2021-02-12
"2554","School","North",24,0,2021-02-13
"2555","Childcare","Calgary",4,0,2021-02-13
"2556","Childcare","Central",2,0,2021-02-13
"2557","Junior/High School","Calgary",6,0,2021-02-13
"2558","Junior/High School","North",2,0,2021-02-13
"2559","Manufacturing","Calgary",13,0,2021-02-13
"2560","Childcare","Calgary",7,0,2021-02-13
"2561","Long-Term Care","Calgary",1,0,2021-02-13
"2562","Communal","North",5,0,2021-02-14
"2563","Childcare","North",7,0,2021-02-14
"2564","School","Edmonton",4,0,2021-02-14
"2565","School","Edmonton",7,0,2021-02-14
"2566","Long-Term Care","Calgary",9,0,2021-02-14
"2567","Social Service","Calgary",1,0,2021-02-15
"2568","Long-Term Care","Calgary",1,1,2021-02-15
"2569","Childcare","Edmonton",2,0,2021-02-15
"2570","Childcare","Calgary",2,0,2021-02-15
"2571","School","Calgary",11,0,2021-02-15
"2572","Junior/High School","North",4,0,2021-02-15
"2573","Social Service","Central",13,1,2021-02-15
"2574","Acute Care","Edmonton",26,5,2021-02-15
"2575","School","Central",3,0,2021-02-16
"2576","School","North",3,0,2021-02-16
"2577","Junior/High School","South",30,0,2021-02-16
"2578","Social Service","Calgary",8,0,2021-02-16
"2579","School","South",14,0,2021-02-16
"2580","Church","Calgary",11,0,2021-02-16
"2581","School","Calgary",8,0,2021-02-17
"2582","Long-Term Care","North",2,0,2021-02-17
"2583","Childcare","Calgary",3,0,2021-02-17
"2584","Childcare","Central",8,0,2021-02-17
"2585","Long-Term Care","Central",47,4,2021-02-17
"2586","Childcare","Edmonton",2,0,2021-02-17
"2587","Long-Term Care","Central",1,0,2021-02-17
"2588","Long-Term Care","Central",2,0,2021-02-18
"2589","School","Calgary",10,0,2021-02-18
"2590","Office","Edmonton",7,0,2021-02-18
"2591","Medical","Calgary",6,0,2021-02-18
"2592","Junior/High School","North",38,0,2021-02-18
"2593","Junior/High School","Calgary",15,0,2021-02-18
"2594","School","Central",2,0,2021-02-18
"2595","Long-Term Care","South",5,0,2021-02-18
"2596","Social Service","North",3,0,2021-02-18
"2597","Grocery/Essential","Calgary",10,0,2021-02-18
"2598","Manufacturing","Edmonton",5,0,2021-02-18
"2599","Social Service","Edmonton",1,0,2021-02-18
"2600","Shelter","South",6,0,2021-02-18
"2601","Childcare","Edmonton",3,0,2021-02-18
"2602","Restaurant","Edmonton",6,0,2021-02-19
"2603","Long-Term Care","South",5,1,2021-02-19
"2604","Junior/High School","Calgary",2,0,2021-02-19
"2605","Manufacturing","Edmonton",11,0,2021-02-19
"2606","Long-Term Care","Calgary",1,0,2021-02-19
"2607","School","Calgary",2,0,2021-02-19
"2608","Junior/High School","Edmonton",4,0,2021-02-19
"2609","Childcare","Edmonton",2,0,2021-02-19
"2610","Auto Delearship","Calgary",11,0,2021-02-19
"2611","School","Calgary",4,0,2021-02-19
"2612","Manufacturing","Edmonton",3,0,2021-02-20
"2613","Construction","Calgary",24,0,2021-02-20
"2614","School","Edmonton",3,0,2021-02-20
"2615","Social Service","Calgary",1,0,2021-02-20
"2616","School","Calgary",2,0,2021-02-20
"2617","Group Home","Central",5,0,2021-02-20
"2618","Social Service","Calgary",2,0,2021-02-20
"2619","School","Calgary",4,0,2021-02-20
"2620","School","Calgary",2,0,2021-02-21
"2621","School","Calgary",6,0,2021-02-21
"2622","Long-Term Care","North",1,0,2021-02-21
"2623","Long-Term Care","Edmonton",1,0,2021-02-21
"2624","Long-Term Care","Calgary",2,0,2021-02-21
"2625","Junior/High School","Calgary",12,0,2021-02-21
"2626","School","North",12,0,2021-02-21
"2627","School","Calgary",5,0,2021-02-21
"2628","Long-Term Care","Central",1,0,2021-02-21
"2629","Social Service","Central",1,0,2021-02-21
"2630","School","North",13,0,2021-02-22
"2631","Junior/High School","Calgary",17,0,2021-02-22
"2632","Correctional","Edmonton",1,0,2021-02-22
"2633","Acute Care","Edmonton",5,0,2021-02-22
"2634","School","North",2,0,2021-02-22
"2635","Long-Term Care","North",1,1,2021-02-22
"2636","Social Service","South",4,0,2021-02-22
"2637","School","Calgary",5,0,2021-02-22
"2638","School","Calgary",1,0,2021-02-22
"2639","Social Service","Central",10,0,2021-02-22
"2640","Manufacturing","North",6,0,2021-02-22
"2641","Acute Care","South",1,0,2021-02-22
"2642","Social Service","Calgary",2,0,2021-02-22
"2643","Private","Central",6,0,2021-02-23
"2644","Junior/High School","Edmonton",11,0,2021-02-24
"2645","School","North",10,0,2021-02-24
"2646","Manufacturing","Calgary",5,0,2021-02-24
"2647","School","Central",9,0,2021-02-24
"2648","School","Edmonton",3,0,2021-02-24
"2649","Social Service","Edmonton",2,0,2021-02-24
"2650","Childcare","Edmonton",2,0,2021-02-24
"2651","School","Calgary",1,0,2021-02-24
"2652","Long-Term Care","Calgary",5,0,2021-02-24
"2653","Acute Care","Edmonton",2,0,2021-02-24
"2654","Childcare","North",7,0,2021-02-24
"2655","School","North",14,0,2021-02-25
"2656","School","Calgary",4,0,2021-02-25
"2657","School","Calgary",8,0,2021-02-25
"2658","Communal","North",12,0,2021-02-25
"2659","Childcare","North",4,0,2021-02-25
"2660","Acute Care","North",1,0,2021-02-25
"2661","School","Edmonton",3,0,2021-02-25
"2662","Shelter","Calgary",1,0,2021-02-25
"2663","Construction","North",5,0,2021-02-25
"2664","Junior/High School","Calgary",33,0,2021-02-25
"2665","Long-Term Care","Calgary",1,0,2021-02-26
"2666","Group Home","Central",8,0,2021-02-26
"2667","Long-Term Care","North",1,0,2021-02-26
"2668","School","North",2,0,2021-02-26
"2669","School","Edmonton",2,0,2021-02-26
"2670","School","Central",3,0,2021-02-26
"2671","Childcare","Calgary",2,0,2021-02-27
"2672","Long-Term Care","Calgary",4,0,2021-02-27
"2673","School","North",3,0,2021-02-27
"2674","School","Edmonton",3,0,2021-02-27
"2675","School","North",7,0,2021-02-27
"2676","Junior/High School","Calgary",4,0,2021-02-27
"2677","Social Service","North",4,0,2021-02-27
"2678","Childcare","Calgary",10,0,2021-02-27
"2679","School","Central",1,0,2021-02-27
"2680","School","Calgary",2,0,2021-02-27
"2681","Long-Term Care","Calgary",1,0,2021-02-27
"2682","Long-Term Care","Edmonton",74,15,2021-02-27
"2683","School","North",19,0,2021-02-27
"2684","Food Manufacturing","Calgary",3,0,2021-02-27
"2685","Junior/High School","North",36,0,2021-02-28
"2686","Junior/High School","South",6,0,2021-02-28
"2687","School","Central",2,0,2021-02-28
"2688","School","Central",3,0,2021-02-28
"2689","Communal","Edmonton",6,0,2021-02-28
"2690","Social Service","North",2,0,2021-02-28
"2691","Acute Care","South",1,1,2021-02-28
"2692","School","South",7,0,2021-02-28
"2693","Restaurant","Calgary",8,0,2021-02-28
"2694","Manufacturing","Edmonton",9,0,2021-02-28
"2695","School","Calgary",11,0,2021-02-28
"2696","Childcare","Central",7,0,2021-02-28
"2697","Grocery/Essential","Edmonton",6,0,2021-02-28
"2698","Childcare","Central",2,0,2021-03-01
"2699","Childcare","Calgary",19,0,2021-03-01
"2700","Social Service","Calgary",1,0,2021-03-01
"2701","School","Calgary",2,0,2021-03-01
"2702","School","Edmonton",2,0,2021-03-01
"2703","Junior/High School","Central",25,0,2021-03-01
"2704","Shelter","Calgary",1,0,2021-03-01
"2705","Junior/High School","Edmonton",12,0,2021-03-01
"2706","Auto Delearship","North",10,0,2021-03-01
"2707","Social Service","South",7,0,2021-03-01
"2708","Long-Term Care","Calgary",1,0,2021-03-01
"2709","Manufacturing","Calgary",15,0,2021-03-02
"2710","Childcare","Edmonton",2,0,2021-03-02
"2711","Long-Term Care","Central",2,0,2021-03-02
"2712","Group Home","North",2,0,2021-03-02
"2713","Long-Term Care","Edmonton",1,0,2021-03-02
"2714","School","Edmonton",2,0,2021-03-02
"2715","Shelter","Calgary",3,0,2021-03-02
"2716","Long-Term Care","North",5,0,2021-03-02
"2717","School","Calgary",2,0,2021-03-02
"2718","School","Central",2,0,2021-03-02
"2719","School","South",2,0,2021-03-02
"2720","School","North",2,0,2021-03-02
"2721","School","Calgary",2,0,2021-03-03
"2722","Junior/High School","Calgary",32,0,2021-03-03
"2723","Long-Term Care","Edmonton",1,0,2021-03-03
"2724","Long-Term Care","Edmonton",1,0,2021-03-03
"2725","School","Calgary",16,0,2021-03-03
"2726","Junior/High School","Calgary",30,0,2021-03-03
"2727","Junior/High School","Calgary",25,0,2021-03-03
"2728","School","Calgary",24,0,2021-03-03
"2729","Social Service","Edmonton",6,0,2021-03-03
"2730","School","Calgary",9,0,2021-03-03
"2731","Business","Edmonton",5,0,2021-03-03
"2732","Junior/High School","North",4,0,2021-03-03
"2733","School","Central",5,0,2021-03-03
"2734","School","Calgary",3,0,2021-03-03
"2735","Frontline","Edmonton",7,0,2021-03-03
"2736","School","Calgary",14,0,2021-03-03
"2737","Junior/High School","Edmonton",10,0,2021-03-04
"2738","School","Calgary",9,0,2021-03-04
"2739","Manufacturing","Calgary",11,0,2021-03-04
"2740","Grocery/Essential","North",6,0,2021-03-04
"2741","Acute Care","Edmonton",11,0,2021-03-04
"2742","School","Edmonton",4,0,2021-03-04
"2743","Long-Term Care","Calgary",1,0,2021-03-04
"2744","Long-Term Care","Edmonton",3,2,2021-03-04
"2745","Construction","Calgary",11,0,2021-03-04
"2746","Acute Care","North",2,0,2021-03-04
"2747","Acute Care","North",2,0,2021-03-04
"2748","Long-Term Care","Calgary",12,0,2021-03-04
"2749","School","Calgary",2,0,2021-03-04
"2750","Junior/High School","Calgary",16,0,2021-03-04
"2751","Childcare","Edmonton",2,0,2021-03-04
"2752","Social Service","South",1,0,2021-03-04
"2753","School","Calgary",7,0,2021-03-05
"2754","School","Edmonton",5,0,2021-03-05
"2755","School","Central",5,0,2021-03-05
"2756","Construction","North",7,0,2021-03-05
"2757","Social Service","Edmonton",11,0,2021-03-05
"2758","Junior/High School","Edmonton",2,0,2021-03-05
"2759","Long-Term Care","Calgary",1,0,2021-03-05
"2760","School","North",2,0,2021-03-07
"2761","School","Calgary",2,0,2021-03-07
"2762","Long-Term Care","Edmonton",1,0,2021-03-07
"2763","Long-Term Care","Central",1,0,2021-03-07
"2764","Medical","Edmonton",4,0,2021-03-07
"2765","Long-Term Care","Calgary",2,1,2021-03-07
"2766","Grocery/Essential","Central",14,0,2021-03-07
"2767","School","Calgary",25,0,2021-03-07
"2768","School","Calgary",12,0,2021-03-07
"2769","Communal","North",18,0,2021-03-07
"2770","School","Edmonton",3,0,2021-03-07
"2771","Shelter","Edmonton",2,0,2021-03-08
"2772","Junior/High School","South",24,0,2021-03-08
"2773","Shelter","Calgary",3,0,2021-03-08
"2774","Social Service","Calgary",1,0,2021-03-08
"2775","School","Calgary",2,0,2021-03-08
"2776","Salon/Parlour","Calgary",10,0,2021-03-08
"2777","Social Service","Calgary",1,0,2021-03-08
"2778","Social Service","Calgary",1,0,2021-03-08
"2779","Social Service","Calgary",4,0,2021-03-08
"2780","Social Service","Edmonton",1,0,2021-03-09
"2781","School","South",10,0,2021-03-09
"2782","Long-Term Care","South",26,2,2021-03-09
"2783","Junior/High School","Central",2,0,2021-03-09
"2784","Manufacturing","Central",5,0,2021-03-09
"2785","Manufacturing","Calgary",5,0,2021-03-09
"2786","School","Central",5,0,2021-03-09
"2787","Medical","North",3,0,2021-03-09
"2788","School","South",2,0,2021-03-09
"2789","School","North",2,0,2021-03-09
"2790","School","North",2,0,2021-03-09
"2791","School","North",5,0,2021-03-10
"2792","School","Central",3,0,2021-03-10
"2793","Grocery/Essential","Calgary",6,0,2021-03-11
"2794","Long-Term Care","South",22,0,2021-03-11
"2795","Junior/High School","Edmonton",5,0,2021-03-11
"2796","School","North",20,0,2021-03-11
"2797","School","South",4,0,2021-03-11
"2798","School","South",10,0,2021-03-11
"2799","School","Edmonton",3,0,2021-03-11
"2800","Junior/High School","South",11,0,2021-03-11
"2801","School","Calgary",11,0,2021-03-11
"2802","Long-Term Care","South",1,0,2021-03-11
"2803","Food Manufacturing","Calgary",36,0,2021-03-11
"2804","Food Manufacturing","Calgary",2,0,2021-03-11
"2805","School","North",2,0,2021-03-11
"2806","School","Calgary",4,0,2021-03-11
"2807","Shelter","Edmonton",1,0,2021-03-11
"2808","School","South",6,0,2021-03-11
"2809","School","South",6,0,2021-03-11
"2810","Acute Care","Edmonton",2,1,2021-03-11
"2811","School","Edmonton",2,0,2021-03-11
"2812","Junior/High School","Edmonton",2,0,2021-03-11
"2813","Long-Term Care","Calgary",8,0,2021-03-11
"2814","Long-Term Care","Central",3,0,2021-03-11
"2815","Junior/High School","North",7,0,2021-03-11
"2816","Junior/High School","Central",2,0,2021-03-11
"2817","School","South",5,0,2021-03-11
"2818","School","Calgary",8,0,2021-03-11
"2819","School","South",16,0,2021-03-11
"2820","Junior/High School","North",1,0,2021-03-11
"2821","Junior/High School","South",7,0,2021-03-12
"2822","Junior/High School","Calgary",4,0,2021-03-12
"2823","Communal","North",17,0,2021-03-12
"2824","Communal","North",2,0,2021-03-12
"2825","School","Calgary",2,0,2021-03-12
"2826","School","North",3,0,2021-03-12
"2827","School","South",21,0,2021-03-12
"2828","School","Calgary",11,0,2021-03-12
"2829","School","Edmonton",10,0,2021-03-12
"2830","School","Calgary",7,0,2021-03-12
"2831","School","Calgary",7,0,2021-03-12
"2832","Construction","Calgary",10,0,2021-03-12
"2833","Junior/High School","Calgary",23,0,2021-03-12
"2834","Acute Care","Edmonton",53,5,2021-03-13
"2835","School","Calgary",5,0,2021-03-13
"2836","Manufacturing","Calgary",13,0,2021-03-13
"2837","School","South",5,0,2021-03-13
"2838","Shelter","Edmonton",3,0,2021-03-13
"2839","School","Edmonton",3,0,2021-03-13
"2840","Childcare","Calgary",8,0,2021-03-13
"2841","School","Edmonton",3,0,2021-03-13
"2842","School","Calgary",2,0,2021-03-13
"2843","Restaurant","Calgary",58,0,2021-03-13
"2844","School","Calgary",2,0,2021-03-13
"2845","Social Service","Calgary",1,0,2021-03-13
"2846","School","Edmonton",3,0,2021-03-13
"2847","School","Calgary",3,0,2021-03-13
"2848","School","Calgary",3,0,2021-03-13
"2849","Long-Term Care","Calgary",1,0,2021-03-13
"2850","Childcare","Edmonton",2,0,2021-03-14
"2851","Long-Term Care","Central",1,0,2021-03-14
"2852","Childcare","Edmonton",15,0,2021-03-14
"2853","School","Calgary",2,0,2021-03-14
"2854","Group Home","Edmonton",10,0,2021-03-14
"2855","School","Edmonton",8,0,2021-03-14
"2856","Junior/High School","Calgary",3,0,2021-03-14
"2857","School","North",1,0,2021-03-14
"2858","Long-Term Care","Calgary",1,0,2021-03-14
"2859","School","Central",3,0,2021-03-14
"2860","Junior/High School","North",24,0,2021-03-14
"2861","School","Edmonton",2,0,2021-03-15
"2862","Business","Calgary",9,0,2021-03-15
"2863","Junior/High School","North",5,0,2021-03-15
"2864","Long-Term Care","Central",1,0,2021-03-15
"2865","Social Service","Calgary",6,0,2021-03-15
"2866","Long-Term Care","Central",2,0,2021-03-15
"2867","Group Home","Central",1,0,2021-03-15
"2868","Childcare","Edmonton",3,0,2021-03-15
"2869","Long-Term Care","Edmonton",1,0,2021-03-15
"2870","Restaurant","Calgary",1,0,2021-03-16
"2871","Manufacturing","Calgary",7,0,2021-03-16
"2872","School","Edmonton",3,0,2021-03-16
"2873","Private","South",7,0,2021-03-16
"2874","School","Edmonton",6,0,2021-03-16
"2875","Social Service","Edmonton",7,0,2021-03-16
"2876","Social Service","Central",7,0,2021-03-16
"2877","Junior/High School","Edmonton",6,0,2021-03-16
"2878","Manufacturing","Edmonton",14,0,2021-03-16
"2879","School","South",5,0,2021-03-16
"2880","Social Service","Calgary",3,0,2021-03-16
"2881","Communal","South",5,0,2021-03-16
"2882","Junior/High School","North",1,0,2021-03-16
"2883","School","Calgary",12,0,2021-03-16
"2884","Long-Term Care","South",1,1,2021-03-16
"2885","Junior/High School","Calgary",38,0,2021-03-16
"2886","Church","South",21,1,2021-03-16
"2887","Childcare","Calgary",8,0,2021-03-16
"2888","Medical","Central",10,0,2021-03-16
"2889","School","North",4,0,2021-03-17
"2890","Salon/Parlour","Calgary",13,0,2021-03-17
"2891","School","South",3,0,2021-03-17
"2892","Restaurant","Edmonton",7,0,2021-03-17
"2893","Junior/High School","Calgary",9,0,2021-03-17
"2894","Group Home","Central",4,0,2021-03-17
"2895","Long-Term Care","Calgary",1,0,2021-03-17
